feature_id,geometry_type,coordinates,geometry_format
way/772358648,LineString,"[[37.571354, 55.8400048], [37.5712577, 55.8401248], [37.5711566, 55.8402247], [37.5709368, 55.8403972], [37.5708081, 55.8405132], [37.5706968, 55.8406548], [37.5704036, 55.8410786]]","LINESTRING(55.8400048 37.571354,55.8401248 37.5712577,55.8402247 37.5711566,55.8403972 37.5709368,55.8405132 37.5708081,55.8406548 37.5706968,55.8410786 37.5704036)"
way/772387404,LineString,"[[37.4829965, 55.6890466], [37.4823024, 55.6886779], [37.481925, 55.6884774], [37.4811534, 55.6880658]]","LINESTRING(55.6890466 37.4829965,55.6886779 37.4823024,55.6884774 37.481925,55.6880658 37.4811534)"
way/772387405,LineString,"[[37.4832188, 55.6891695], [37.4829965, 55.6890466]]","LINESTRING(55.6891695 37.4832188,55.6890466 37.4829965)"
way/772387406,LineString,"[[37.4833929, 55.689064], [37.4844695, 55.6896627]]","LINESTRING(55.689064 37.4833929,55.6896627 37.4844695)"
way/772387407,LineString,"[[37.483172, 55.6889412], [37.4833929, 55.689064]]","LINESTRING(55.6889412 37.483172,55.689064 37.4833929)"
way/772500520,LineString,"[[37.6606715, 55.8422029], [37.6611355, 55.8420124], [37.6619536, 55.8417022], [37.6627851, 55.841419], [37.6634932, 55.8412022], [37.6643442, 55.8409725], [37.6645366, 55.8409206], [37.6654914, 55.8406735], [37.6672939, 55.8402414], [37.6686269, 55.8398813], [37.6700136, 55.8394807]]","LINESTRING(55.8422029 37.6606715,55.8420124 37.6611355,55.8417022 37.6619536,55.841419 37.6627851,55.8412022 37.6634932,55.8409725 37.6643442,55.8409206 37.6645366,55.8406735 37.6654914,55.8402414 37.6672939,55.8398813 37.6686269,55.8394807 37.6700136)"
way/772502451,LineString,"[[37.681885, 55.8364699], [37.6851126, 55.8356204], [37.6871681, 55.8350607], [37.6882417, 55.8347285], [37.690267, 55.8340524], [37.6929114, 55.8331081], [37.6942822, 55.8326817], [37.6968926, 55.8319321], [37.6984679, 55.8314434], [37.7001846, 55.830866], [37.7060683, 55.8288414], [37.7070227, 55.8284832], [37.7080258, 55.8280839], [37.710096, 55.8272133], [37.7108234, 55.826936], [37.7129373, 55.8261369], [37.7132312, 55.8260268]]","LINESTRING(55.8364699 37.681885,55.8356204 37.6851126,55.8350607 37.6871681,55.8347285 37.6882417,55.8340524 37.690267,55.8331081 37.6929114,55.8326817 37.6942822,55.8319321 37.6968926,55.8314434 37.6984679,55.830866 37.7001846,55.8288414 37.7060683,55.8284832 37.7070227,55.8280839 37.7080258,55.8272133 37.710096,55.826936 37.7108234,55.8261369 37.7129373,55.8260268 37.7132312)"
way/772665891,LineString,"[[37.2667784, 55.6158621], [37.2666587, 55.6158113]]","LINESTRING(55.6158621 37.2667784,55.6158113 37.2666587)"
way/772770980,LineString,"[[37.2988712, 55.3275347], [37.2991338, 55.327408], [37.2994503, 55.3275179], [37.3000163, 55.3278642], [37.3011911, 55.328148], [37.3018992, 55.3282167], [37.3020869, 55.3282396], [37.3022774, 55.3282472], [37.302677, 55.3281587], [37.3034307, 55.3281252], [37.3039457, 55.328084], [37.3043749, 55.3280351]]","LINESTRING(55.3275347 37.2988712,55.327408 37.2991338,55.3275179 37.2994503,55.3278642 37.3000163,55.328148 37.3011911,55.3282167 37.3018992,55.3282396 37.3020869,55.3282472 37.3022774,55.3281587 37.302677,55.3281252 37.3034307,55.328084 37.3039457,55.3280351 37.3043749)"
way/772770981,LineString,"[[37.2994616, 55.3263141], [37.2996327, 55.3264101], [37.2999921, 55.3265062], [37.3007297, 55.3265733], [37.3012152, 55.3264894], [37.3016122, 55.3264986], [37.3018965, 55.3265886], [37.3026127, 55.326671], [37.3033583, 55.3266969], [37.3045653, 55.3266237], [37.3063432, 55.3265439], [37.3064473, 55.326569], [37.3065011, 55.3266165], [37.3067217, 55.3270552], [37.3067741, 55.3270852], [37.3068647, 55.3270891], [37.3082524, 55.3269975], [37.3107221, 55.3268645]]","LINESTRING(55.3263141 37.2994616,55.3264101 37.2996327,55.3265062 37.2999921,55.3265733 37.3007297,55.3264894 37.3012152,55.3264986 37.3016122,55.3265886 37.3018965,55.326671 37.3026127,55.3266969 37.3033583,55.3266237 37.3045653,55.3265439 37.3063432,55.326569 37.3064473,55.3266165 37.3065011,55.3270552 37.3067217,55.3270852 37.3067741,55.3270891 37.3068647,55.3269975 37.3082524,55.3268645 37.3107221)"
way/772770984,LineString,"[[37.2987204, 55.3272635], [37.298533, 55.3272524], [37.2969854, 55.3266442], [37.2968593, 55.3265947], [37.2967762, 55.3265321], [37.2966662, 55.326375], [37.2965589, 55.32623], [37.2965723, 55.3261278], [37.2965723, 55.326053], [37.2964838, 55.3260027], [37.2959313, 55.3257127], [37.2955584, 55.3254777], [37.294676, 55.3247834]]","LINESTRING(55.3272635 37.2987204,55.3272524 37.298533,55.3266442 37.2969854,55.3265947 37.2968593,55.3265321 37.2967762,55.326375 37.2966662,55.32623 37.2965589,55.3261278 37.2965723,55.326053 37.2965723,55.3260027 37.2964838,55.3257127 37.2959313,55.3254777 37.2955584,55.3247834 37.294676)"
