feature_id,geometry_type,coordinates,geometry_format
way/1118934841,LineString,"[[30.4176703, 59.9697278], [30.4178044, 59.969937], [30.4178685, 59.9700255], [30.4184552, 59.9709297], [30.4185608, 59.971096], [30.4186506, 59.9712374], [30.4186785, 59.9712806], [30.4189616, 59.9717194], [30.4191278, 59.9719663], [30.4192273, 59.9721163]]","LINESTRING(59.9697278 30.4176703,59.969937 30.4178044,59.9700255 30.4178685,59.9709297 30.4184552,59.971096 30.4185608,59.9712374 30.4186506,59.9712806 30.4186785,59.9717194 30.4189616,59.9719663 30.4191278,59.9721163 30.4192273)"
way/1118934848,LineString,"[[30.4192273, 59.9721163], [30.4192816, 59.9721752]]",
way/1118934852,LineString,"[[30.4152029, 59.9730907], [30.4158614, 59.9729436], [30.4164956, 59.9727838], [30.4171829, 59.9726171], [30.4177673, 59.9724744], [30.4184404, 59.9723109], [30.4187898, 59.9722253], [30.4192273, 59.9721163]]","LINESTRING(59.9730907 30.4152029,59.9729436 30.4158614,59.9727838 30.4164956,59.9726171 30.4171829,59.9724744 30.4177673,59.9723109 30.4184404,59.9722253 30.4187898,59.9721163 30.4192273)"
way/1118934858,LineString,"[[30.4284681, 59.9675744], [30.4285677, 59.9676215]]",
way/1118934861,LineString,"[[30.4313209, 59.9621354], [30.4313144, 59.9632119], [30.4313211, 59.9641826], [30.4313217, 59.9642518], [30.4313115, 59.9655525], [30.4312972, 59.9656675], [30.4312598, 59.9657768], [30.4312118, 59.965875], [30.4311958, 59.9659078], [30.4311004, 59.9660399], [30.4310142, 59.9661377], [30.4307757, 59.9663448], [30.4306048, 59.966467], [30.4304008, 59.9665938], [30.4300381, 59.9668032], [30.4299023, 59.9668787], [30.4298028, 59.9669341], [30.4291572, 59.967295], [30.4285677, 59.9676215], [30.4284462, 59.9676891]]","LINESTRING(59.9621354 30.4313209,59.9632119 30.4313144,59.9641826 30.4313211,59.9642518 30.4313217,59.9655525 30.4313115,59.9656675 30.4312972,59.9657768 30.4312598,59.965875 30.4312118,59.9659078 30.4311958,59.9660399 30.4311004,59.9661377 30.4310142,59.9663448 30.4307757,59.966467 30.4306048,59.9665938 30.4304008,59.9668032 30.4300381,59.9668787 30.4299023,59.9669341 30.4298028,59.967295 30.4291572,59.9676215 30.4285677,59.9676891 30.4284462)"
way/1118934863,LineString,"[[30.4313331, 59.9609549], [30.4313289, 59.9613553], [30.4313214, 59.9620831], [30.4313209, 59.9621354]]","LINESTRING(59.9609549 30.4313331,59.9613553 30.4313289,59.9620831 30.4313214,59.9621354 30.4313209)"
way/1118934865,LineString,"[[30.431302, 59.9599766], [30.4312416, 59.9599738]]",
way/1118934866,LineString,"[[30.4312416, 59.9599738], [30.4313159, 59.9598858]]",
way/1118934867,LineString,"[[30.4313693, 59.9599792], [30.4313488, 59.960128], [30.4313459, 59.9603496], [30.4313331, 59.9609549]]","LINESTRING(59.9599792 30.4313693,59.960128 30.4313488,59.9603496 30.4313459,59.9609549 30.4313331)"
way/1118934868,LineString,"[[30.4313159, 59.9598858], [30.4313693, 59.9599792]]",
